reference_id,deposit_status,assigned,recieved_at,university,i20_status,created_at,modified_at
100004958,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1036507,Yes,"Victoria Dieckman, Mounika Bhuvana Maheswari Krishnamurthy, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1079954,Yes,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1081760,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1083356,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1084592,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1120751,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1124291,Yes,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1133077,Yes,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1145532,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1164037,No,"Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1167322,No,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1168161,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1170975,Yes,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1172722,No,"Catherine Donahue, Madeline Schurman, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1173826,No,"Catherine Donahue, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1176424,Yes,Catherine Donahue,2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1176504,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1185309,Yes,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1186579,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1186979,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1189581,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1189766,Yes,"Rebecca Bahan, Prince Tetteh",2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1189767,Yes,Prince Tetteh,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1191008,No,Prince Tetteh,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1193005,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1211628,Yes,"Catherine Donahue, Fnu Mounika",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1211764,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1219049,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1222325,No,Yewon Kim,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1224507,Yes,"Naresh Dama, Victoria Dieckman, Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1225543,Yes,Prince Tetteh,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1226481,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1237457,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1237853,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1239665,Yes,Catherine Donahue,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1240020,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1247837,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1248320,Yes,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1251428,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1252238,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1253095,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1256342,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1256486,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1256873,Yes,Prince Tetteh,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1259772,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1265175,Yes,"Alexander Mikhailov, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1265840,Yes,Mounika Bhuvana Maheswari Krishnamurthy,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1266260,Yes,"Naresh Dama, Catherine Donahue, Jorge Jesus Pena Cevallos",2025-04-14,Saint Louis University,Yes,2025-04-14,2025-04-14
1266321,Yes,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1266635,Yes,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1266972,Yes,"Mounika Bhuvana Maheswari Krishnamurthy, Madeline Schurman",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1268578,Yes,"Catherine Donahue, Palak Joshi",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1269040,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1270822,Yes,"Victoria Dieckman, Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy, Jorge Jesus Pena Cevallos",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1270938,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1271768,Yes,"Naresh Dama, Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1272401,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1273632,Yes,Palak Joshi,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1273872,No,Fnu Mounika,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1274374,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1275209,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1277672,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1278490,Yes,"Catherine Donahue, Mounika Bhuvana Maheswari Krishnamurthy",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1280672,No,Prince Tetteh,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1282145,No,"Victoria Dieckman, Palak Joshi",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1282360,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1282652,Yes,"Rebecca Bahan, Victoria Dieckman, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1283131,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1283573,No,Prince Tetteh,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1283587,Yes,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1286198,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1286516,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1286766,No,"Naresh Dama, Catherine Donahue",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1287130,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1287368,No,Catherine Donahue,2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
1288614,No,,2025-05-27,Saint Louis University,No,2025-05-27,2025-05-27
1288619,No,"Catherine Donahue, Prince Tetteh",2025-05-27,Saint Louis University,Yes,2025-05-27,2025-05-27
